,Date,Volume,Turnover,Open,High,Low,Close
0,111/01/03,"73,703,302","46,249,716,919",619.00,632.00,618.00,631.00
1,111/01/04,"90,945,643","59,188,199,534",645.00,656.00,644.00,656.00
2,111/01/05,"72,505,550","47,582,832,784",669.00,669.00,646.00,650.00
3,111/01/06,"57,490,736","36,817,638,522",638.00,646.00,636.00,644.00
4,111/01/07,"39,847,766","25,358,237,656",643.00,646.00,632.00,634.00
5,111/01/10,"39,286,754","25,052,138,297",628.00,645.00,627.00,643.00
6,111/01/11,"36,186,544","23,361,588,355",646.00,651.00,639.00,651.00
7,111/01/12,"40,832,298","26,762,357,054",657.00,660.00,650.00,660.00
8,111/01/13,"39,172,028","25,813,559,647",658.00,662.00,655.00,661.00
9,111/01/14,"98,768,193","66,094,477,906",673.00,673.00,661.00,672.00
10,111/01/17,"63,828,552","43,615,303,577",685.00,688.00,678.00,683.00
11,111/01/18,"48,802,321","32,742,176,854",678.00,681.00,662.00,662.00
12,111/01/19,"44,092,247","28,859,030,269",652.00,660.00,651.00,654.00
13,111/01/20,"48,996,473","31,893,527,292",650.00,657.00,646.00,651.00
14,111/01/21,"53,966,101","34,642,476,570",644.00,646.00,637.00,641.00
15,111/01/24,"48,665,203","31,412,475,591",639.00,655.00,637.00,653.00
16,111/01/25,"53,927,064","34,582,254,327",643.00,645.00,638.00,641.00
17,111/01/26,"33,093,553","21,089,251,429",635.00,641.00,635.00,636.00
0,111/02/07,"64,637,049","41,221,401,027",644.00,644.00,631.00,635.00
1,111/02/08,"43,786,259","27,805,114,442",645.00,645.00,628.00,628.00
2,111/02/09,"33,633,394","21,289,086,984",635.00,637.00,630.00,633.00
3,111/02/10,"37,388,892","24,028,303,016",639.00,649.00,637.00,649.00
4,111/02/11,"28,194,682","18,225,628,338",646.00,650.00,642.00,650.00
5,111/02/14,"39,394,670","25,104,180,949",640.00,641.00,635.00,637.00
6,111/02/15,"24,497,955","15,556,533,655",633.00,639.00,633.00,633.00
7,111/02/16,"27,395,771","17,635,435,307",645.00,646.00,640.00,646.00
8,111/02/17,"20,447,347","13,171,026,165",644.00,646.00,641.00,645.00
9,111/02/18,"21,948,975","13,997,433,486",638.00,639.00,636.00,637.00
10,111/02/21,"25,769,408","16,320,629,980",633.00,636.00,632.00,632.00
11,111/02/22,"38,526,210","24,153,923,316",628.00,630.00,625.00,627.00
12,111/02/23,"34,561,338","21,606,428,438",624.00,629.00,623.00,625.00
13,111/02/24,"80,672,979","49,358,065,299",618.00,619.00,604.00,604.00
14,111/02/25,"94,155,943","56,880,320,916",600.00,609.00,600.00,604.00
0,111/03/01,"70,303,880","42,445,208,215",599.00,610.00,599.00,604.00
1,111/03/02,"42,428,151","25,528,700,277",601.00,605.00,600.00,601.00
2,111/03/03,"37,103,932","22,373,890,387",603.00,607.00,601.00,602.00
3,111/03/04,"65,235,167","38,833,099,256",595.00,597.00,592.00,595.00
4,111/03/07,"97,167,600","56,147,025,127",580.00,581.00,575.00,576.00
5,111/03/08,"88,371,413","49,908,147,901",561.00,570.00,561.00,563.00
6,111/03/09,"57,512,412","32,761,408,119",567.00,573.00,567.00,568.00
7,111/03/10,"49,092,145","28,798,814,637",585.00,589.00,582.00,587.00
8,111/03/11,"42,981,381","24,820,833,930",581.00,582.00,574.00,575.00
9,111/03/14,"38,562,552","22,131,365,409",574.00,577.00,572.00,572.00
10,111/03/15,"84,338,792","47,191,728,965",562.00,563.00,558.00,558.00
11,111/03/16,"50,764,807","28,345,633,852",564.00,565.00,555.00,558.00
12,111/03/17,"65,820,899","38,121,960,334",578.00,583.00,575.00,582.00
13,111/03/18,"49,583,448","28,771,454,221",582.00,582.00,576.00,581.00
14,111/03/21,"22,800,165","13,363,354,969",583.00,589.00,583.00,586.00
15,111/03/22,"23,421,124","13,613,967,252",577.00,586.00,577.00,583.00
16,111/03/23,"27,475,008","16,177,424,772",590.00,590.00,586.00,590.00
17,111/03/24,"20,769,676","12,232,627,003",587.00,592.00,585.00,591.00
18,111/03/25,"26,794,684","15,984,831,591",597.00,598.00,595.00,598.00
19,111/03/28,"27,954,730","16,298,449,416",581.00,586.00,580.00,584.00
20,111/03/29,"15,742,359","9,243,985,774",586.00,589.00,584.00,589.00
21,111/03/30,"43,256,548","25,908,489,513",599.00,600.00,597.00,600.00
22,111/03/31,"25,130,417","15,014,260,610",602.00,602.00,594.00,597.00
0,111/04/01,"31,247,086","18,328,227,645",585.00,589.00,584.00,589.00
1,111/04/06,"40,726,932","23,547,636,944",578.00,580.00,575.00,578.00
2,111/04/07,"47,212,937","26,881,649,976",571.00,573.00,566.00,566.00
3,111/04/08,"31,406,384","17,821,660,486",567.00,570.00,566.00,567.00
4,111/04/11,"41,713,758","23,401,330,531",563.00,566.00,558.00,558.00
5,111/04/12,"34,799,056","19,418,030,839",554.00,564.00,552.00,557.00
6,111/04/13,"36,968,137","21,134,384,849",564.00,576.00,563.00,573.00
7,111/04/14,"20,224,847","11,618,596,373",577.00,578.00,573.00,573.00
8,111/04/15,"33,158,930","18,667,922,752",562.00,566.00,561.00,562.00
9,111/04/18,"16,579,296","9,311,198,146",559.00,566.00,558.00,561.00
10,111/04/19,"18,811,242","10,639,032,272",566.00,569.00,563.00,565.00
11,111/04/20,"28,240,222","16,016,967,192",570.00,570.00,562.00,570.00
12,111/04/21,"21,539,083","12,221,437,009",571.00,571.00,565.00,565.00
13,111/04/22,"35,567,672","19,849,449,551",558.00,559.00,557.00,558.00
14,111/04/25,"49,067,362","26,907,070,565",550.00,552.00,546.00,547.00
15,111/04/26,"39,549,934","21,628,474,846",550.00,551.00,544.00,546.00
16,111/04/27,"65,034,122","34,416,315,121",530.00,532.00,526.00,526.00
17,111/04/28,"50,406,145","26,653,291,522",530.00,532.00,523.00,531.00
18,111/04/29,"39,960,198","21,586,196,160",547.00,547.00,535.00,538.00
0,111/05/03,"29,502,561","15,790,689,728",538.00,540.00,530.00,531.00
1,111/05/04,"17,305,449","9,229,779,558",533.00,537.00,530.00,534.00
2,111/05/05,"22,540,182","12,209,716,759",543.00,544.00,539.00,542.00
3,111/05/06,"34,512,038","18,241,210,653",528.00,531.00,526.00,528.00
4,111/05/09,"27,309,304","14,249,571,058",523.00,524.00,520.00,520.00
5,111/05/10,"44,322,247","22,673,191,861",506.00,519.00,505.00,518.00
6,111/05/11,"28,109,896","14,662,149,551",518.00,526.00,518.00,521.00
7,111/05/12,"35,824,788","18,310,112,210",516.00,518.00,505.00,505.00
8,111/05/13,"30,204,773","15,412,261,905",507.00,514.00,506.00,511.00
9,111/05/16,"22,012,610","11,472,463,517",521.00,524.00,518.00,520.00
10,111/05/17,"25,812,051","13,627,135,311",521.00,533.00,520.00,530.00
11,111/05/18,"33,605,299","18,075,946,322",541.00,541.00,534.00,538.00
12,111/05/19,"40,798,132","21,322,524,192",523.00,527.00,520.00,522.00
13,111/05/20,"26,111,163","13,784,969,436",524.00,532.00,523.00,530.00
14,111/05/23,"18,919,447","10,040,778,291",533.00,534.00,528.00,528.00
15,111/05/24,"19,130,619","10,036,942,322",530.00,531.00,520.00,520.00
16,111/05/25,"22,460,245","11,782,306,905",522.00,529.00,520.00,524.00
17,111/05/26,"31,542,825","16,336,162,581",523.00,525.00,513.00,514.00
18,111/05/27,"30,113,220","15,855,257,581",524.00,530.00,522.00,530.00
19,111/05/30,"36,480,411","19,757,635,264",538.00,547.00,537.00,547.00
20,111/05/31,"81,962,870","45,507,333,341",542.00,560.00,540.00,560.00
0,111/06/01,"32,970,903","18,171,598,472",550.00,555.00,548.00,549.00
1,111/06/02,"26,063,495","14,122,936,388",544.00,545.00,540.00,540.00
